Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/ChekrishnaCk/status/1699289692041314368,Che_ಕೃಷ್ಣ,https://twitter.com/ChekrishnaCk,2023-09-06,Bharat 's history would have been different if Modi would have taken birth in 15th Century #BharatVsIndia#Bharath,https://pbs.twimg.com/media/F5UW2mVacAA9k3o?format=jpg&name=small,https://twitter.com/ChekrishnaCk/status/1699289692041314368,False,9,35,263,23.4K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/AnuSree4657/status/1699587108367994882,♔ Anu Sree ♔Reloadcuando falla falla ,https://twitter.com/AnuSree4657,2023-09-07,"Finally I did what I want   Bharat, #भारत  #G20India #NationFlag #G20Bharat #BharatVsIndia #Atlee #KrishnaJanmashtami #Jawan #PAKvBAN #TejRan",,https://twitter.com/AnuSree4657/status/1699587108367994882,False,2,7,26,"8,666"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/crossway/status/1699829888885354961/,Crossway,https://twitter.com/crossway,,How 7 Transformational Events in 1776 Paved the Way for Today’s Post-Christian West,https://pbs.twimg.com/media/F5bx4KgWoAAvXuC?format=jpg&name=small,https://twitter.com/crossway/status/1699829888885354961/,True,3,5,30,127.2K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/PAYALSHAHU62/status/1699291548649935199,PAYAL SHAHUReload,https://twitter.com/PAYALSHAHU62,2023-09-06,"By changing the names of the British, they are eliminating the symbols of slavery.#BharatVsIndia #Blessings #Bharath #yagmur #BharatMandapam #KrishnaJanmashtami #CWC23 #FitnessMantras  #BoycottJawanMovie #Metamask #TeJran",,https://twitter.com/PAYALSHAHU62/status/1699291548649935199,False,171,388,"1,884",215.4K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/IPrabhakarSP/status/1699385334172410182,Prabhakar Singh PariharReload,https://twitter.com/IPrabhakarSP,2023-09-06,Has Sonia Gandhi seen this?#BharatVsIndia,,https://twitter.com/IPrabhakarSP/status/1699385334172410182,False,2,21,52,"2,835"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/HaikuInc_/status/1680271452711288833/,"Haiku, Inc.",https://twitter.com/HaikuInc_,,Become A Cybersecurity Professional By Playing GamesImagine if a video game could change your entire career - and your life.  Welcome to World of Haiku.  This is the answer you've been looking for.,https://pbs.twimg.com/media/FrNSm4pXgB0mrY9?format=jpg&name=small,https://twitter.com/HaikuInc_/status/1680271452711288833/,True,105,180,673,3.8M
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/bhagalsanju/status/1699463522290393581,बाबा लपेटू नाथ,https://twitter.com/bhagalsanju,2023-09-06,शुरुआत हो चुकी है...!#BharatVsIndia,https://pbs.twimg.com/media/F5W1Dc9WsAA_qXi?format=jpg&name=small,https://twitter.com/bhagalsanju/status/1699463522290393581,False,6,261,681,"9,703"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/sunil14801901/status/1699383912433082651,सुनिल कुमार,https://twitter.com/sunil14801901,2023-09-06,Someone up there will be Smiling BHARAT #BharatVsIndia,https://pbs.twimg.com/media/F5VspkgXYAAPnfm?format=jpg&name=small;https://pbs.twimg.com/media/F5Vspx1WMAAiqXi?format=jpg&name=360x360,https://twitter.com/sunil14801901/status/1699383912433082651,False,3,8,16,"1,888"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/NaziaElahiKhan1/status/1699476020557144080,Nazia Elahi Khan BJPReload,https://twitter.com/NaziaElahiKhan1,,"No one should have objection on the name of Bharat. One flag, One land, One Heart, One Hand, One Nation Evermore! Bharat mata ki Jay #BharatVsIndia #भारत @BJP4Bengal @BJP4India @blsanthosh @sambitswaraj @amitmalviya @TNNavbharat",,https://twitter.com/NaziaElahiKhan1/status/1699476020557144080,False,25,127,497,"7,964"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/tastytrade/status/1697704126367621381/,tastytrade,https://twitter.com/tastytrade,,Support that speaks your language.,https://pbs.twimg.com/media/F4TcYOsasAA5dZX?format=jpg&name=small,https://twitter.com/tastytrade/status/1697704126367621381/,True,22,29,83,255.9K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Harshitaa89/status/1699685198475264500,Radha Rani Reload,https://twitter.com/Harshitaa89,2023-09-07,Peace in India #PeaceAndLove#BharatVsIndia  #Pakistan #Bangladesh #spreadpeace,,https://twitter.com/Harshitaa89/status/1699685198475264500,False,1,2,5,504
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/MustaqeemMewati/status/1700530056463036773,Mohd Mustaqeem MewatiReload,https://twitter.com/MustaqeemMewati,2023-09-09,मैं इस वीडियो बनाने वाले शख्स को नही जानता हूं मगर जिस तरह से इन साहब ने देश के नाम पर चल रही भसड़ पर आना वीडियो बनाया वो काबिल ए तारीफ है ..आप लोग वीडियो देखिये और संघी भक्तों की धुलाई देखिए..Rt करते रहे ताकि वीडियो दूर तक जाए! #BharatVsIndia,,https://twitter.com/MustaqeemMewati/status/1700530056463036773,False,,62,99,"1,178"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/with_arsenal/status/1699771900413800730/,Arsenal,https://twitter.com/with_arsenal,,Camera Body Meet Camera Brain,https://pbs.twimg.com/media/F436duGaMAELmX5?format=jpg&name=small,https://twitter.com/with_arsenal/status/1699771900413800730/,True,11,8,93,563.1K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/NaziaElahiKhan1/status/1699361416418140484,Nazia Elahi Khan BJPReload,https://twitter.com/NaziaElahiKhan1,2023-09-06,"By changing the names of the British,  We are eliminating the symbols of slavery.#BharatVsIndia #Bharat",,https://twitter.com/NaziaElahiKhan1/status/1699361416418140484,False,46,187,714,18.8K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/VistaraNewsEng/status/1699336588550176956,Vistara News EnglishReload,https://twitter.com/VistaraNewsEng,2023-09-06,Never Forget You're Hindustani Jackie Shroff reacts to India vs Bharat | Vistara News English#VistaraNewsEnglish #jackieshroff #BharatVsIndia  #IndiavsBharatControversy,,https://twitter.com/VistaraNewsEng/status/1699336588550176956,False,1,6,38,"4,020"
